Geography,TRACTCE,name,SquareMile
1400000US24031701206,701206,North Bethesda,1.91053178454
1400000US24031701206,701206,Potomac,1.91053178454
1400000US24031701210,701210,Potomac,1.00144722263
1400000US24031701210,701210,Rockville,1.00144722263
1400000US24031701210,701210,Travilah,1.00144722263
1400000US24031701211,701211,Rockville,2.53698446202
1400000US24031701211,701211,Gaithersburg,2.53698446202
1400000US24031701211,701211,Redland,2.53698446202
1400000US24031701211,701211,Derwood,2.53698446202
1400000US24031701212,701212,Redland,4.02089961004
1400000US24031701212,701212,Aspen Hill,4.02089961004
1400000US24031701212,701212,Gaithersburg,4.02089961004
1400000US24031701212,701212,Upper Rock Creek,4.02089961004
1400000US24031701212,701212,Derwood,4.02089961004
1400000US24031701214,701214,Kensington,0.485304055922
1400000US24031701214,701214,Garrett Park,0.485304055922
1400000US24031701214,701214,Bethesda,0.485304055922
1400000US24031701214,701214,North Bethesda,0.485304055922
1400000US24031701215,701215,North Bethesda,0.297556708996
1400000US24031701215,701215,Bethesda,0.297556708996
1400000US24031701216,701216,North Bethesda,0.52466257142
1400000US24031701218,701218,North Bethesda,0.280277371169
1400000US24031701218,701218,Rockville,0.280277371169
1400000US24031701219,701219,Aspen Hill,0.869697691944
1400000US24031701219,701219,Rockville,0.869697691944
1400000US24031701219,701219,Rock Creek,0.869697691944
1400000US24031701219,701219,North Bethesda,0.869697691944
1400000US24031701220,701220,Rockville,2.27832169323
1400000US24031701220,701220,Travilah,2.27832169323
1400000US24031701220,701220,Potomac,2.27832169323
1400000US24031701220,701220,North Potomac,2.27832169323
1400000US24031701221,701221,North Potomac,1.06191725028
1400000US24031701221,701221,Travilah,1.06191725028
1400000US24031701221,701221,Rockville,1.06191725028
1400000US24031701222,701222,North Bethesda,0.45546247195
1400000US24031701223,701223,North Bethesda,0.280509698377
1400000US24031701303,701303,Olney,1.65267412231
1400000US24031701303,701303,Derwood,1.65267412231
1400000US24031701303,701303,Upper Rock Creek,1.65267412231
1400000US24031701303,701303,Norbeck / Norwood,1.65267412231
1400000US24031701303,701303,Aspen Hill,1.65267412231
1400000US24031701304,701304,Laytonsville,2.83865322453
1400000US24031701304,701304,Brookeville,2.83865322453
1400000US24031701304,701304,Olney,2.83865322453
1400000US24031701306,701306,Upper Rock Creek,1.77509297999
1400000US24031701306,701306,Norbeck / Norwood,1.77509297999
