Join_Count,TARGET_FID,JOIN_FID,STATEFP,COUNTYFP,TRACTCE,GEOID,Geography,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,shape_id,route_id,agency_id,route_short_name,route_long,route_desc,route_type,route_url,route_colo,route_text,route_ty_1,Shape_Length,Shape_Area,wkday_departures,sat_departures,sun_departures
1,1448,77,24,031,705000,24031705000,1400000US24031705000,7050,Census Tract 7050,G5020,S,4558192,11079,38.9984654,-77.0906078,0.13866210602915,37114,8863,MCRO,33,33-Glenmont-Medical Center,Rte 33 operates Monday-Friday,3,NA,8A6F91,FFFFFF,Bus,0.105530670267245,4.75116531906e-4,33,NA,NA
1,1448,79,24,031,705000,24031705000,1400000US24031705000,7050,Census Tract 7050,G5020,S,4558192,11079,38.9984654,-77.0906078,0.103956085721935,37116,8864,MCRO,34,34-Bethesda-Wheaton,Rte 34 operates Monday-Sunday,3,NA,0000FF,FFFFFF,Bus,0.105530670267245,4.75116531906e-4,76,58,58
1,1448,120,24,031,705000,24031705000,1400000US24031705000,7050,Census Tract 7050,G5020,S,4558192,11079,38.9984654,-77.0906078,0.145567472639219,37158,8876,MCRO,46,46-Mont.College-Rockv-Medical Ctr,Rte 46 operates Monday-Sunday,3,NA,AE92E4,FFFFFF,Bus,0.105530670267245,4.75116531906e-4,106,82,76
1,1448,122,24,031,705000,24031705000,1400000US24031705000,7050,Census Tract 7050,G5020,S,4558192,11079,38.9984654,-77.0906078,0.208082754000072,37160,8877,MCRO,47,47-Rockville-Mont. Mall-Bethesda,Rte 47 operates Monday-Sunday,3,NA,008080,FFFFFF,Bus,0.105530670267245,4.75116531906e-4,68,50,50
1,1448,192,24,031,705000,24031705000,1400000US24031705000,7050,Census Tract 7050,G5020,S,4558192,11079,38.9984654,-77.0906078,0.333545643065808,37235,8899,MCRO,70,70-Germantown-Bethesda EXPRESS,Rte 70 operates Monday-Friday,3,NA,800080,FFFFFF,Bus,0.105530670267245,4.75116531906e-4,44,NA,NA
1,1449,1,24,031,705100,24031705100,1400000US24031705100,7051,Census Tract 7051,G5020,S,3416279,6819,38.9954347,-77.0730231,0.102976722414213,37001,8819,MCRO,1,1-Silver Spring-Friendship Heights,Rte 1 operates Monday-Sunday,3,NA,808000,FFFFFF,Bus,0.10658566315175,3.55930385553e-4,74,57,57
1,1449,15,24,031,705100,24031705100,1400000US24031705100,7051,Census Tract 7051,G5020,S,3416279,6819,38.9954347,-77.0730231,0.083978846264096,37017,8823,MCRO,11,11-Silver Spring-Friendship Heights,Rte11operate AM-SS-FH-PM-FH-SS,3,NA,DF0070,FFFFFF,Bus,0.10658566315175,3.55930385553e-4,24,NA,NA
1,1449,77,24,031,705100,24031705100,1400000US24031705100,7051,Census Tract 7051,G5020,S,3416279,6819,38.9954347,-77.0730231,0.13866210602915,37114,8863,MCRO,33,33-Glenmont-Medical Center,Rte 33 operates Monday-Friday,3,NA,8A6F91,FFFFFF,Bus,0.10658566315175,3.55930385553e-4,33,NA,NA
1,1450,1,24,031,705200,24031705200,1400000US24031705200,7052,Census Tract 7052,G5020,S,1817807,1853,38.9837902,-77.065309,0.102976722414213,37001,8819,MCRO,1,1-Silver Spring-Friendship Heights,Rte 1 operates Monday-Sunday,3,NA,808000,FFFFFF,Bus,0.070181575731589,1.89173328595e-4,74,57,57
1,1450,15,24,031,705200,24031705200,1400000US24031705200,7052,Census Tract 7052,G5020,S,1817807,1853,38.9837902,-77.065309,0.083978846264096,37017,8823,MCRO,11,11-Silver Spring-Friendship Heights,Rte11operate AM-SS-FH-PM-FH-SS,3,NA,DF0070,FFFFFF,Bus,0.070181575731589,1.89173328595e-4,24,NA,NA
